"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"S000000896","YER094C","S. cerevisiae","PUP3","PUtative Proteasome subunit"
"S000000906","YER104W","S. cerevisiae","RTT105","Regulator of Ty1 Transposition"
"S000000908","YER106W","S. cerevisiae","MAM1","Monopolar microtubule Attachment during Meiosis I"
"S000000914","YER112W","S. cerevisiae","LSM4","Like SM"
"S000000927","YER125W","S. cerevisiae","RSP5","Reverses Spt- Phenotype"
"S000000928","YER126C","S. cerevisiae","NSA2","Nop Seven Associated"
"S000000929","YER127W","S. cerevisiae","LCP5","Lethal with Conditional Pap1"
"S000000935","YER133W","S. cerevisiae","GLC7","GLyCogen"
"S000000938","YER136W","S. cerevisiae","GDI1","GDP Dissociation Inhibitor"
"S000000948","YER146W","S. cerevisiae","LSM5","Like SM"
"S000000949","YER147C","S. cerevisiae","SCC4","Sister Chromatid Cohesion"
"S000000950","YER148W","S. cerevisiae","SPT15","SuPpressor of Ty insertions"
"S000000959","YER157W","S. cerevisiae","COG3","Conserved Oligomeric Golgi complex"
"S000000961","YER159C","S. cerevisiae","BUR6","Bypass UAS Requirement"
"S000000967","YER165W","S. cerevisiae","PAB1","Poly(A) Binding protein"
"S000000970","YER168C","S. cerevisiae","CCA1","tRNA CCA-pyrophosphorylase"
"S000000973","YER171W","S. cerevisiae","RAD3","RADiation sensitive"
"S000000974","YER172C","S. cerevisiae","BRR2","Bad Response to Refrigeration"
"S000001007","YHL015W","S. cerevisiae","RPS20","Ribosomal Protein of the Small subunit"
"S000001047","YHR005C","S. cerevisiae","GPA1","G Protein Alpha subunit"
"S000001049","YHR007C","S. cerevisiae","ERG11","ERGosterol biosynthesis"
"S000001051","YHR009C","S. cerevisiae","TDA3","Topoisomerase I Damage Affected"
"S000001056","YHR014W","S. cerevisiae","SPO13","SPOrulation"
"S000001061","YHR019C","S. cerevisiae","DED81","Defines Essential Domain"
"S000001062","YHR020W","S. cerevisiae","",""
"S000001065","YHR023W","S. cerevisiae","MYO1","MYOsin"
"S000001066","YHR024C","S. cerevisiae","MAS2","Mitochondrial ASsembly"
"S000001069","YHR027C","S. cerevisiae","RPN1","Regulatory Particle Non-ATPase"
"S000001078","YHR036W","S. cerevisiae","BRL1","BRr6 Like protein"
"S000001082","YHR040W","S. cerevisiae","BCD1","Box C/D snoRNA accumulation"
"S000001084","YHR042W","S. cerevisiae","NCP1","NADP-Cytochrome P450 reductase"
"S000001100","YHR058C","S. cerevisiae","MED6","MEDiator complex"
"S000001104","YHR062C","S. cerevisiae","RPP1","Ribonuclease P Protein"
"S000001107","YHR065C","S. cerevisiae","RRP3","Ribosomal RNA Processing"
"S000001110","YHR068W","S. cerevisiae","DYS1","DeoxyhYpusine Synthase"
"S000001111","YHR069C","S. cerevisiae","RRP4","Ribosomal RNA Processing"
"S000001112","YHR070W","S. cerevisiae","TRM5","tRNA Methyltransferase"
"S000001114","YHR072W","S. cerevisiae","ERG7","ERGosterol biosynthesis"
"S000001116","YHR074W","S. cerevisiae","QNS1","glutamine (Q) dependent Nad+ Synthetase"
"S000001124","YHR082C","S. cerevisiae","KSP1","Kinase Suppressing Prp20-10"
"S000001125","YHR083W","S. cerevisiae","SAM35","Sorting and Assembly Machinery"
"S000001126","YHR084W","S. cerevisiae","STE12","STErile"
"S000001127","YHR085W","S. cerevisiae","IPI1","Involved in Processing ITS2"
"S000001128","YHR086W","S. cerevisiae","NAM8","Nuclear Accommodation of Mitochondria"
"S000001130","YHR088W","S. cerevisiae","RPF1","Ribosome Production Factor"
"S000001140","YHR098C","S. cerevisiae","SFB3","Sed Five Binding"
"S000001141","YHR099W","S. cerevisiae","TRA1","similar to human TRRAP"
"S000001143","YHR101C","S. cerevisiae","BIG1","Bad In Glucose"
"S000001149","YHR107C","S. cerevisiae","CDC12","Cell Division Cycle"
"S000001160","YHR118C","S. cerevisiae","ORC6","Origin Recognition Complex"
"S000001164","YHR122W","S. cerevisiae","CIA2","Cytosolic Iron-sulfur protein Assembly"
"S000001170","YHR128W","S. cerevisiae","FUR1","5-FluoroURidine resistant"
"S000001171","YHR129C","S. cerevisiae","ARP1","Actin-Related Protein"
"S000001185","YHR143W-A","S. cerevisiae","RPC10","RNA Polymerase C"
"S000001191","YHR148W","S. cerevisiae","IMP3","Interacting with Mpp10p"
"S000001207","YHR164C","S. cerevisiae","DNA2","DNA synthesis defective"
"S000001208","YHR165C","S. cerevisiae","PRP8","Pre-mRNA Processing"
"S000001209","YHR166C","S. cerevisiae","CDC23","Cell Division Cycle"
"S000001212","YHR169W","S. cerevisiae","DBP8","Dead Box Protein"
"S000001213","YHR170W","S. cerevisiae","NMD3","Nonsense-Mediated mRNA Decay"
"S000001215","YHR172W","S. cerevisiae","SPC97","Spindle Pole Component"
"S000001229","YHR186C","S. cerevisiae","KOG1","Kontroller Of Growth"
"S000001231","YHR188C","S. cerevisiae","GPI16","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000001233","YHR190W","S. cerevisiae","ERG9","ERGosterol biosynthesis"
"S000001239","YHR196W","S. cerevisiae","UTP9","U Three Protein"
"S000001240","YHR197W","S. cerevisiae","RIX1","RIbosome eXport"
"S000001265","YIL003W","S. cerevisiae","CFD1","Cytosolic Fe-S cluster Deficient"
"S000001266","YIL004C","S. cerevisiae","BET1","Blocked Early in Transport"
"S000001281","YIL019W","S. cerevisiae","FAF1","Forty (40) S Assembly Factor "
"S000001283","YIL021W","S. cerevisiae","RPB3","RNA Polymerase B"
"S000001284","YIL022W","S. cerevisiae","TIM44","Translocase of the Inner Mitochondrial membrane"
"S000001288","YIL026C","S. cerevisiae","IRR1","IRRegular cell behavior"
"S000001293","YIL031W","S. cerevisiae","ULP2","UbL-specific Protease"
"S000001308","YIL046W","S. cerevisiae","MET30","METhionine requiring"
"S000001310","YIL048W","S. cerevisiae","NEO1","NEOmycin-resistance"
"S000001313","YIL051C","S. cerevisiae","MMF1","Mitochondrial Matrix Factor"
"S000001323","YIL061C","S. cerevisiae","SNP1",""
"S000001324","YIL062C","S. cerevisiae","ARC15","ARp2/3 Complex subunit"
"S000001325","YIL063C","S. cerevisiae","YRB2","Yeast Ran Binder"
"S000001330","YIL068C","S. cerevisiae","SEC6","SECretory"
"S000001337","YIL075C","S. cerevisiae","RPN2","Regulatory Particle Non-ATPase"
"S000001340","YIL078W","S. cerevisiae","THS1","THreonyl tRNA Synthetase"
"S000001345","YIL083C","S. cerevisiae","CAB2","Coenzyme A Biosynthesis"
"S000001353","YIL091C","S. cerevisiae","UTP25","U Three Protein"
"S000001366","YIL104C","S. cerevisiae","SHQ1","Small nucleolar RNAs of the box H/ACA family Quantitative accumulation"
"S000001368","YIL106W","S. cerevisiae","MOB1","Mps One Binder"
"S000001371","YIL109C","S. cerevisiae","SEC24","SECretory"
"S000001377","YIL115C","S. cerevisiae","NUP159","NUclear Pore"
"S000001380","YIL118W","S. cerevisiae","RHO3","Ras HOmolog"
"S000001388","YIL126W","S. cerevisiae","STH1","SNF Two Homolog"
"S000001391","YIL129C","S. cerevisiae","TAO3","Transcriptional Activator of OCH1"
"S000001399","YIL137C","S. cerevisiae","TMA108","Translation Machinery Associated"
"S000001404","YIL142W","S. cerevisiae","CCT2","Chaperonin Containing TCP-1"
"S000001405","YIL143C","S. cerevisiae","SSL2","Suppressor of Stem-Loop mutation"
"S000001406","YIL144W","S. cerevisiae","NDC80","Nuclear Division Cycle"
"S000001409","YIL147C","S. cerevisiae","SLN1","Synthetic Lethal of N-end rule"
"S000001412","YIL150C","S. cerevisiae","MCM10","MiniChromosome Maintenance"
"S000001443","YIR004W","S. cerevisiae","DJP1","DnaJ Protein"
"S000001445","YIR006C","S. cerevisiae","PAN1","Poly(A)-binding protein-dependent poly(A) riboNuclease"
"S000001447","YIR008C","S. cerevisiae","PRI1","DNA PRImase"
"S000001449","YIR010W","S. cerevisiae","DSN1","Dosage Suppressor of NNF1"
"S000001450","YIR011C","S. cerevisiae","STS1","Sec Twenty-three Suppressor 1"
"S000001451","YIR012W","S. cerevisiae","SQT1","Suppressor of QSR1 Truncations"
"S000001454","YIR015W","S. cerevisiae","RPR2","RNase P Ribonucleoprotein"
"S000001461","YIR022W","S. cerevisiae","SEC11","SECretory"
"S000001487","YKL004W","S. cerevisiae","AUR1","AUreobasidin A Resistance"
"S000001495","YKL012W","S. cerevisiae","PRP40","Pre-mRNA Processing"
"S000001496","YKL013C","S. cerevisiae","ARC19","ARp2/3 Complex subunit"
"S000001497","YKL014C","S. cerevisiae","URB1","Unhealthy Ribosome Biogenesis"
"S000001501","YKL018W","S. cerevisiae","SWD2","Set1c, WD40 repeat protein"
"S000001502","YKL019W","S. cerevisiae","RAM2","RAS protein and A-factor Maturation"
"S000001504","YKL021C","S. cerevisiae","MAK11","MAintenance of Killer"
"S000001505","YKL022C","S. cerevisiae","CDC16","Cell Division Cycle"
"S000001507","YKL024C","S. cerevisiae","URA6","URAcil requiring"
"S000001511","YKL028W","S. cerevisiae","TFA1","Transcription Factor a, subunit 1"
"S000001516","YKL033W","S. cerevisiae","TTI1","Two Tel2-Interacting protein"
"S000001518","YKL035W","S. cerevisiae","UGP1","UDP-glucose pyrophosphorylase"
"S000001519","YKL036C","S. cerevisiae","",""
"S000001520","YKL037W","S. cerevisiae","AIM26","Altered Inheritance rate of Mitochondria"
"S000001525","YKL042W","S. cerevisiae","SPC42","Spindle Pole Component"
"S000001528","YKL045W","S. cerevisiae","PRI2","DNA PRImase"
"S000001532","YKL049C","S. cerevisiae","CSE4","Chromosome SEgregation"
"S000001535","YKL052C","S. cerevisiae","ASK1","Associated with Spindles and Kinetochores"
"S000001541","YKL058W","S. cerevisiae","TOA2",""
"S000001542","YKL059C","S. cerevisiae","MPE1","Mutant PCF11 Extragenic suppressor"
"S000001543","YKL060C","S. cerevisiae","FBA1","Fructose-1,6-Bisphosphate Aldolase"
"S000001561","YKL078W","S. cerevisiae","DHR2","DEAH-box RNA helicase"
"S000001565","YKL082C","S. cerevisiae","RRP14","Ribosomal RNA Processing"
"S000001566","YKL083W","S. cerevisiae","",""
"S000001571","YKL088W","S. cerevisiae","CAB3","Coenzyme A Biosynthesis"
"S000001572","YKL089W","S. cerevisiae","MIF2","MItotic Fidelity of chromosome transmission"
"S000001578","YKL095W","S. cerevisiae","YJU2",""
"S000001582","YKL099C","S. cerevisiae","UTP11","U Three Protein"
"S000001584","YKL101W","S. cerevisiae","HSL1","Histone Synthetic Lethal"
"S000001587","YKL104C","S. cerevisiae","GFA1","Glutamine:Fructose-6-phosphate Amidotransferase"
"S000001591","YKL108W","S. cerevisiae","SLD2","Synthetically Lethal with Dpb11-1"
"S000001594","YKL111C","S. cerevisiae","",""
"S000001595","YKL112W","S. cerevisiae","ABF1","ARS-Binding Factor 1"
"S000001605","YKL122C","S. cerevisiae","SRP21","Signal Recognition Particle"
"S000001608","YKL125W","S. cerevisiae","RRN3","Regulation of RNA polymerase I"
"S000001622","YKL139W","S. cerevisiae","CTK1","Carboxy-Terminal domain Kinase"
"S000001624","YKL141W","S. cerevisiae","SDH3","Succinate DeHydrogenase"
"S000001627","YKL144C","S. cerevisiae","RPC25","RNA Polymerase C"
"S000001628","YKL145W","S. cerevisiae","RPT1","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"S000001635","YKL152C","S. cerevisiae","GPM1","Glycerate PhosphoMutase"
"S000001636","YKL153W","S. cerevisiae","",""
"S000001637","YKL154W","S. cerevisiae","SRP102","Signal Recognition Particle"
"S000001648","YKL165C","S. cerevisiae","MCD4","Morphogenesis Checkpoint Dependent"
"S000001649","YKL166C","S. cerevisiae","TPK3","Takashi's Protein Kinase"
"S000001655","YKL172W","S. cerevisiae","EBP2","EBNA1-binding protein (homolog)"
"S000001656","YKL173W","S. cerevisiae","SNU114","Small NUclear ribonucleoprotein associated"
"S000001663","YKL180W","S. cerevisiae","RPL17A","Ribosomal Protein of the Large subunit"
"S000001665","YKL182W","S. cerevisiae","FAS1","Fatty Acid Synthetase"
"S000001669","YKL186C","S. cerevisiae","MTR2","Mrna TRansport"
"S000001672","YKL189W","S. cerevisiae","HYM1",""
"S000001675","YKL192C","S. cerevisiae","ACP1","Acyl Carrier Protein"
"S000001676","YKL193C","S. cerevisiae","SDS22","homolog of S. pombe SDS22"
"S000001678","YKL195W","S. cerevisiae","MIA40","Mitochondrial intermembrane space Import and Assembly"
"S000001679","YKL196C","S. cerevisiae","YKT6",""
"S000001686","YKL203C","S. cerevisiae","TOR2","Target Of Rapamycin"
"S000001688","YKL205W","S. cerevisiae","LOS1","Loss Of Suppression"
"S000001693","YKL210W","S. cerevisiae","UBA1","UBiquitin Activating"
"S000001710","YKR002W","S. cerevisiae","PAP1","Poly(A) Polymerase"
"S000001712","YKR004C","S. cerevisiae","ECM9","ExtraCellular Mutant"
"S000001716","YKR008W","S. cerevisiae","RSC4","Remodel the Structure of Chromatin"
"S000001730","YKR022C","S. cerevisiae","NTR2","NineTeen complex Related protein"
"S000001733","YKR025W","S. cerevisiae","RPC37","RNA Polymerase C"
"S000001745","YKR037C","S. cerevisiae","SPC34","Spindle Pole Component"
"S000001746","YKR038C","S. cerevisiae","KAE1","Kinase-Associated Endopeptidase"
"S000001770","YKR062W","S. cerevisiae","TFA2","Transcription Factor a, subunit 2"
"S000001771","YKR063C","S. cerevisiae","LAS1","Lethal in the Absence of SSD1-v"
"S000001776","YKR068C","S. cerevisiae","BET3","Blocked Early in Transport"
"S000001779","YKR071C","S. cerevisiae","DRE2","Derepressed for Ribosomal protein S14 Expression"
"S000001783","YKR075C","S. cerevisiae","",""
"S000001787","YKR079C","S. cerevisiae","TRZ1","tRNase Z"
"S000001789","YKR081C","S. cerevisiae","RPF2","Ribosome Production Factor"
"S000001791","YKR083C","S. cerevisiae","DAD2","Duo1 And Dam1 interacting"
"S000001794","YKR086W","S. cerevisiae","PRP16","Pre-mRNA Processing"
"S000001849","YFL045C","S. cerevisiae","SEC53","SECretory"
"S000001855","YFL039C","S. cerevisiae","ACT1","ACTin"
"S000001856","YFL038C","S. cerevisiae","YPT1","Yeast Protein Two"
"S000001857","YFL037W","S. cerevisiae","TUB2","TUBulin"
"S000001859","YFL034C-B","S. cerevisiae","MOB2","Mps One Binder"
"S000001865","YFL029C","S. cerevisiae","CAK1","Cdk-Activating Kinase"
"S000001870","YFL024C","S. cerevisiae","EPL1","Enhancer of Polycomb Like"
"S000001871","YFL023W","S. cerevisiae","BUD27","BUD site selection"
"S000001872","YFL022C","S. cerevisiae","FRS2","phenylalanyl (F)-tRNA Synthetase"
"S000001877","YFL017C","S. cerevisiae","GNA1","GlucosamiNe-6-phosphate Acetyltransferase"
"S000001885","YFL009W","S. cerevisiae","CDC4","Cell Division Cycle"
"S000001886","YFL008W","S. cerevisiae","SMC1","Stability of MiniChromosomes"
"S000001889","YFL005W","S. cerevisiae","SEC4","SECretory"
"S000001894","YFL002C","S. cerevisiae","SPB4","Suppressor of PAB1"
"S000001898","YFR002W","S. cerevisiae","NIC96","Nucleoporin-Interacting Component of 96 kDa"
"S000001899","YFR003C","S. cerevisiae","YPI1","Yeast Phosphatase Inhibitor"
"S000001900","YFR004W","S. cerevisiae","RPN11","Regulatory Particle Non-ATPase"
"S000001901","YFR005C","S. cerevisiae","SAD1","SnRNP Assembly Defective"
"S000001923","YFR027W","S. cerevisiae","ECO1","Establishment of COhesion"
"S000001924","YFR028C","S. cerevisiae","CDC14","Cell Division Cycle"
"S000001925","YFR029W","S. cerevisiae","PTR3","Peptide TRansport"
"S000001927","YFR031C","S. cerevisiae","SMC2","Structural Maintenance of Chromosomes"
"S000001933","YFR037C","S. cerevisiae","RSC8","Remodel the Structure of Chromatin"
"S000001938","YFR042W","S. cerevisiae","KEG1","Kre6-binding ER protein responsible for Glucan synthesis"
"S000001946","YFR050C","S. cerevisiae","PRE4","PRoteinase yscE"
"S000001947","YFR051C","S. cerevisiae","RET2","RETrieval from ER"
"S000001948","YFR052W","S. cerevisiae","RPN12","Regulatory Particle Non-ATPase"
"S000002101","YKL006C-A","S. cerevisiae","SFT1","Suppressor of sed Five Ts"
"S000002127","YER019C-A","S. cerevisiae","SBH2","Sec61 beta homolog 2"
"S000002137","YAL034C-B","S. cerevisiae","",""
"S000002157","YBR089C-A","S. cerevisiae","NHP6B","Non-Histone Protein"
"S000002161","YDL003W","S. cerevisiae","MCD1","Mitotic Chromosome Determinant"
"S000002162","YDL004W","S. cerevisiae","ATP16","ATP synthase"
"S000002165","YDL007W","S. cerevisiae","RPT2","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
